Vg Vd w_enc_g w_enc_d time
-12.5657142857143 -3.72 -298.352670814075 -118.471477619181 3.52
-12.6128571428571 -3.52285714285714 -300.463250444543 -114.079349635991 3.53
-12.66 -3.32571428571428 -302.450042318524 -109.658110430794 3.54
-12.7071428571429 -3.12857142857142 -304.329766073544 -105.208018069337 3.55
-12.7542857142857 -2.93142857142857 -306.116767655217 -100.729819127236 3.56
-12.8014285714286 -2.73428571428571 -307.823372809299 -96.2246045260834 3.57
-12.8485714285714 -2.53714285714285 -309.460185687824 -91.6936970119373 3.58
-12.8957142857143 -2.34 -311.036341382212 -87.1385640442523 3.59
-12.9428571428571 -2.14285714285714 -312.559719744996 -82.5607510279425 3.6
-12.99 -1.94571428571429 -314.037126653908 -77.9618307744194 3.61
-13.0371428571429 -1.74857142857142 -315.474447866203 -73.3433658568509 3.62
-13.0842857142857 -1.55142857142857 -316.876779772962 -68.7068811616791 3.63
-13.1314285714286 -1.35428571428571 -318.248540664427 -64.0538444581573 3.64
-13.1785714285714 -1.15714285714286 -319.593565534576 -59.3856532314306 3.65
-13.2257142857143 -0.959999999999996 -320.91518696663 -54.7036263697376 3.66
-13.2728571428571 -0.762857142857142 -322.216304234842 -50.0089995769577 3.67
-13.32 -0.565714285714281 -323.499442418257 -45.3029236095984 3.68
-13.3671428571429 -0.368571428571428 -324.766803038012 -40.586464622085 3.69
-13.4142857142857 -0.171428571428567 -326.020307491945 -35.8606060537048 3.7
-13.4614285714286 0.0257142857142874 -327.261634361 -31.126251611315 3.71
-13.5085714285714 0.222857142857148 -328.492251494839 -26.3842289991807 3.72
-13.5557142857143 0.420000000000001 -329.713443643876 -21.6352941254999 3.73
-13.6028571428571 0.617142857142863 -330.926336287136 -16.8801355777864 3.74
-13.65 0.814285714285715 -332.131916206314 -12.1193792093017 3.75
-13.6971428571429 1.01142857142858 -333.331049273039 -7.3535927184885 3.76
-13.7442857142857 1.20857142857143 -334.524495846121 -2.58329013485607 3.77
-13.7914285714286 1.40571428571429 -335.712924116314 2.19106385044628 3.78
-13.8385714285714 1.60285714285714 -336.896921686091 6.96904975172067 3.79
-13.8857142857143 1.80000000000001 -338.077005629672 11.7502893807723 3.8
-13.9328571428571 1.99714285714286 -339.253631242715 16.5344421796155 3.81
-13.98 2.19428571428572 -340.427199660783 21.3212018007229 3.82
-14.0271428571429 2.39142857142857 -341.59806449996 26.1102929350871 3.83
-14.0742857142857 2.58857142857143 -342.766537651128 30.9014683835194 3.84
-14.1214285714286 2.78571428571429 -343.932894340821 35.6945063631196 3.85
-14.1685714285714 2.98285714285714 -345.097377555767 40.4892080384584 3.86
-14.2157142857143 3.18000000000001 -346.260201914686 45.2853952654546 3.87
-14.2628571428571 3.37714285714286 -347.421557059406 50.0829085350068 3.88
-14.31 3.57428571428572 -348.58161062751 54.8816051030318 3.89
-14.3571428571429 3.77142857142857 -349.740510860257 59.6813572934959 3.9
-14.4042857142857 3.96857142857143 -350.898388892299 64.4820509612587 3.91
-14.4514285714286 4.16571428571429 -352.055360763519 69.2835841019557 3.92
-14.4985714285714 4.36285714285715 -353.211529187933 74.0858655967076 3.93
-14.5457142857143 4.56 -354.366985110051 78.8888140800771 3.94
-14.5928571428571 4.75714285714286 -355.521809075078 83.6923569203991 3.95
-14.64 4.95428571428571 -356.676072435972 88.4964293023169 3.96
-14.6871428571429 5.15142857142858 -357.829838417362 93.300973402099 3.97
-14.7342857142857 5.34857142857143 -358.983163053818 98.1059376470074 3.98
-14.7814285714286 5.54571428571429 -360.136096017732 102.911276050699 3.99
-14.8285714285714 5.74285714285714 -361.288681350131 107.716947617292 4
-14.8757142857143 5.94 -362.440958106121 112.522915807364 4.01
-14.9228571428571 6.13714285714287 -363.592960925143 117.329148059752 4.02
-14.97 6.33428571428572 -364.744720535027 122.135615363546 4.03
-15.0171428571429 6.53142857142857 -365.896264197687 126.942291875232 4.04
-15.0642857142857 6.72857142857143 -367.047616103348 131.749154576365 4.05
-15.1114285714286 6.9257142857143 -368.19879771937 136.556182967625 4.06
-15.1585714285714 7.12285714285715 -369.349828098992 141.363358795496 4.07
-15.2057142857143 7.32 -370.500724154684 146.170665808186 4.08
-15.2528571428571 7.51714285714286 -371.65150090022 150.978089537723 4.09
-15.3 7.71428571428571 -372.802171665117 155.785617105492 4.1
-15.3471428571429 7.91142857142858 -373.952748284633 160.593237048741 4.11
-15.3942857142857 8.10857142857143 -375.103241268154 165.400939165818 4.12
-15.4414285714286 8.30571428571428 -376.253659948446 170.208714378187 4.13
-15.4885714285714 8.50285714285714 -377.404012613994 175.016554607389 4.14
-15.5357142857143 8.70000000000001 -378.554306626339 179.824452665393 4.15
-15.5828571428571 8.89714285714286 -379.704548524156 184.632402156862 4.16
-15.63 9.09428571428571 -380.854744115571 189.440397392088 4.17
-15.6771428571429 9.29142857142857 -382.004898560062 194.248433309421 4.18
-15.7242857142857 9.48857142857144 -383.155016441135 199.056505406175 4.19
-15.7714285714286 9.68571428571429 -384.305101830806 203.864609677098 4.2
-15.8185714285714 9.88285714285714 -385.455158346845 208.67274255958 4.21
-15.8657142857143 10.08 -386.605189203576 213.480900884862 4.22
-15.9128571428571 10.2771428571429 -387.755197256977 218.289081834613 4.23
-15.96 10.4742857142857 -388.905185044719 223.097282902259 4.24
-16.0071428571429 10.6714285714286 -390.055154821716 227.905501858577 4.25
-16.0542857142857 10.8685714285714 -391.205108591694 232.713736721069 4.26
-16.1014285714286 11.0657142857143 -392.35504813522 237.521985726701 4.27
-16.1485714285714 11.2628571428572 -393.504975034596 242.330247307655 4.28
-16.1957142857143 11.46 -394.654890695976 247.138520069746 4.29
-16.2428571428571 11.6571428571429 -395.804796368999 251.946802773221 4.3
-16.29 11.8542857142857 -396.954693164233 256.755094315679 4.31
-16.3371428571429 12.0514285714286 -398.104582068677 261.563393716868 4.32
-16.3842857142857 12.2485714285714 -399.254463959521 266.371700105172 4.33
-16.4314285714286 12.4457142857143 -400.404339616377 271.180012705584 4.34
-16.4785714285714 12.6428571428572 -401.554209732147 275.988330829008 4.35
-16.5257142857143 12.84 -402.704074922674 280.796653862741 4.36
-16.5728571428571 13.0371428571429 -403.85393573532 285.60498126202 4.37
-16.62 13.2342857142857 -405.003792656585 290.413312542487 4.38
-16.6671428571429 13.4314285714286 -406.153646118885 295.2216472735 4.39
-16.7142857142857 13.6285714285714 -407.303496506563 300.029985072181 4.4
-16.7614285714286 13.8257142857143 -408.453344161239 304.838325598117 4.41
-16.8085714285714 14.0228571428571 -409.603189386563 309.646668548658 4.42
-16.8557142857143 14.22 -410.753032452436 314.455013654728 4.43
-16.9028571428571 14.4171428571429 -411.902873598764 319.263360677104 4.44
-16.95 14.6142857142857 -413.052713038793 324.071709403103 4.45
