xhat1 xhat2 xhat3 xhat4 yhat1 yhat2 time
0.274543 14.116 -0.222319 1.67619 124.173 -87.5674 1.11
0.2824 13.9667 -0.228588 1.50157 123.577 -85.9237 1.12
0.289266 13.83 -0.237933 1.3485 123.01 -84.4409 1.13
0.295242 13.7043 -0.250382 1.2152 122.465 -83.0997 1.14
0.300418 13.5879 -0.265189 1.09923 121.937 -81.881 1.15
0.304877 13.4791 -0.281568 0.998268 121.419 -80.7683 1.16
0.308691 13.3769 -0.298859 0.910283 120.906 -79.7472 1.17
0.311926 13.28 -0.316543 0.833518 120.395 -78.8052 1.18
0.314642 13.1877 -0.334219 0.76647 119.884 -77.9318 1.19
0.316893 13.0992 -0.351587 0.70784 119.37 -77.1179 1.2
0.318725 13.0138 -0.368434 0.656516 118.852 -76.3555 1.21
0.320181 12.9311 -0.384598 0.611538 118.329 -75.638 1.22
0.321301 12.8506 -0.399976 0.572081 117.8 -74.9594 1.23
0.322119 12.7719 -0.414502 0.537431 117.264 -74.3149 1.24
0.322665 12.6948 -0.428143 0.506973 116.722 -73.7 1.25
0.322969 12.619 -0.440891 0.480174 116.173 -73.1109 1.26
0.323054 12.5442 -0.45275 0.456571 115.618 -72.5445 1.27
0.322943 12.4703 -0.463741 0.435767 115.057 -71.9979 1.28
0.322657 12.3972 -0.473893 0.417412 114.49 -71.4686 1.29
0.322213 12.3247 -0.483246 0.401207 113.916 -70.9546 1.3
0.321628 12.2528 -0.49184 0.386884 113.338 -70.4538 1.31
0.320917 12.1812 -0.49972 0.37422 112.754 -69.9649 1.32
0.320092 12.1101 -0.506927 0.363011 112.165 -69.4862 1.33
0.319165 12.0392 -0.51351 0.353086 111.572 -69.0166 1.34
0.318147 11.9686 -0.519514 0.344289 110.975 -68.5551 1.35
0.317046 11.8983 -0.524979 0.33649 110.373 -68.1006 1.36
0.315873 11.8281 -0.529948 0.329569 109.769 -67.6523 1.37
0.314633 11.758 -0.534461 0.323424 109.161 -67.2096 1.38
0.313335 11.6881 -0.538557 0.317967 108.55 -66.7717 1.39
0.311984 11.6183 -0.54227 0.313116 107.936 -66.3381 1.4
0.310585 11.5485 -0.54563 0.308804 107.32 -65.9084 1.41
0.309144 11.4789 -0.548672 0.304969 106.701 -65.482 1.42
0.307664 11.4093 -0.551422 0.301555 106.081 -65.0586 1.43
0.306151 11.3397 -0.553905 0.298516 105.458 -64.6379 1.44
0.304607 11.2702 -0.556148 0.295808 104.834 -64.2195 1.45
0.303035 11.2007 -0.558172 0.293395 104.208 -63.8033 1.46
0.301439 11.1313 -0.559998 0.291247 103.581 -63.3889 1.47
0.29982 11.0619 -0.561644 0.28933 102.952 -62.9761 1.48
0.298182 10.9925 -0.563125 0.287619 102.323 -62.5649 1.49
0.296527 10.9231 -0.564462 0.286095 101.692 -62.1549 1.5
0.294855 10.8538 -0.565665 0.284736 101.06 -61.7461 1.51
0.293169 10.7844 -0.566747 0.283522 100.428 -61.3384 1.52
0.291471 10.7151 -0.567723 0.282438 99.7943 -60.9316 1.53
0.28976 10.6457 -0.568597 0.28147 99.1603 -60.5256 1.54
0.28804 10.5764 -0.569385 0.280604 98.5257 -60.1203 1.55
0.286311 10.5071 -0.570092 0.279833 97.8905 -59.7157 1.56
0.284573 10.4378 -0.570729 0.279142 97.2548 -59.3117 1.57
0.282828 10.3685 -0.571301 0.278526 96.6186 -58.9082 1.58
0.281076 10.2991 -0.571815 0.277973 95.982 -58.5051 1.59
0.279319 10.2298 -0.572274 0.277482 95.345 -58.1025 1.6
0.277556 10.1605 -0.572689 0.277041 94.7077 -57.7003 1.61
0.275788 10.0912 -0.573061 0.276647 94.0702 -57.2984 1.62
0.274017 10.0219 -0.573396 0.276296 93.4323 -56.8967 1.63
0.272241 9.95264 -0.573696 0.275981 92.7942 -56.4954 1.64
0.270462 9.88334 -0.573963 0.275699 92.1558 -56.0943 1.65
0.26868 9.81404 -0.574204 0.275446 91.5173 -55.6934 1.66
0.266895 9.74475 -0.574421 0.27522 90.8786 -55.2926 1.67
0.265107 9.67546 -0.574614 0.275018 90.2398 -54.8921 1.68
0.263318 9.60616 -0.57479 0.274839 89.6008 -54.4917 1.69
0.261526 9.53687 -0.574946 0.274678 88.9616 -54.0914 1.7
0.258557 9.4575 -0.828906 0.27148 88.1684 -53.6941 1.71
0.254158 9.36036 -1.05952 0.266325 87.1466 -53.2589 1.72
0.248467 9.24629 -1.26162 0.256716 85.9117 -52.7827 1.73
0.241616 9.11756 -1.43753 0.242643 84.4894 -52.2739 1.74
0.233724 8.97644 -1.59051 0.225143 82.9049 -51.7417 1.75
0.224895 8.82495 -1.72363 0.205295 81.1801 -51.1941 1.76
0.215227 8.66478 -1.83959 0.184009 79.3343 -50.6373 1.77
0.204805 8.49735 -1.94071 0.162004 77.3838 -50.0765 1.78
