xhat1 xhat2 xhat3 xhat4 yhat1 yhat2 time
1.43299532326771 -13.0083646610361 4.72282526891271 -0.976359716700728 -2.02971340659073 193.095756508951 5.42
1.4548521289099 -12.5311186457663 4.72281024605618 -0.976335634895287 3.00675208407934 190.973531770574 5.43
1.47670895813537 -12.0538726193316 4.72279496781135 -0.976311782291027 8.04321923070465 188.851308520678 5.44
1.49856580848366 -11.5766265835667 4.72277946160858 -0.976288135760701 13.0796878554936 186.729086608994 5.45
1.52042267775099 -11.0993805400047 4.72276375188733 -0.976264674460797 18.1161578000307 184.606865900101 5.46
1.54227956396353 -10.6221344899268 4.72274786042939 -0.976241379614627 23.1526289231174 182.48464627202 5.47
1.56413646535338 -10.1448884344038 4.72273180665393 -0.976218234314339 28.1891010988634 180.36242761492 5.48
1.58599338033706 -9.66764237433033 4.72271560787878 -0.976195223340758 33.2255742149931 178.240209829948 5.49
1.60785030749632 -9.19039631045419 4.72269927955198 -0.976172332999584 38.2620481713485 176.117992828161 5.5
1.62970724556088 -8.71315024340022 4.72268283545732 -0.976149550972698 43.2985228785573 173.995776529561 5.51
1.65156419339298 -8.23590417369056 4.72266628789654 -0.976126866183104 48.3349982568528 171.873560862211 5.52
1.67342114997355 -7.75865810176166 4.72264964785117 -0.976104268672793 53.3714742350243 169.751345761449 5.53
1.69527811438987 -7.28141202797817 4.72263292512632 -0.976081749491988 58.4079507494883 167.629131169161 5.54
1.71713508582442 -6.80416595264482 4.72261612847851 -0.976059300598966 63.4444277434583 165.506917033131 5.55
1.73899206354498 -6.32691987601624 4.72259926572924 -0.976036914769581 68.4809051662102 163.384703306454 5.56
1.76084904689573 -5.84967379830536 4.72258234386601 -0.976014585515453 73.5173829724253 161.262489947006 5.57
1.78270603528927 -5.37242771968997 4.72256536913244 -0.975992307010214 78.55386112161 159.14027691696 5.58
1.80456302819948 -4.89518164031871 4.7225483471081 -0.975970074022801 83.5903395775748 157.018064182356 5.59
1.82642002515513 -4.41793556031574 4.72253128278011 -0.975947881857467 88.6268183079737 154.89585171271 5.6
1.84827702573415 -3.94068947978493 4.72251418060645 -0.97592572629967 93.6632972838896 152.773639480664 5.61
1.87013402955852 -3.463443398813 4.72249704457275 -0.975903603567251 98.6997764794703 150.651427461665 5.62
1.89199103628964 -2.98619731747242 4.72247987824269 -0.975881510266526 103.7362558716 148.529215633686 5.63
1.91384804562426 -2.50895123582376 4.72246268480305 -0.975859443352816 108.772735439606 146.407003976962 5.64
1.93570505729074 -2.03170515391762 4.72244546710387 -0.975837400094795 113.809215165001 144.284792473765 5.65
1.95756207104581 -1.55445907179638 4.72242822769428 -0.975815378042569 118.845695031248 142.162581108193 5.66
1.97941908667155 -1.07721298949535 4.72241096885448 -0.975793374998849 123.882175023555 140.040369865985 5.67
2.0012761039728 -0.599966907044061 4.72239369262429 -0.975771388993119 128.91865512869 137.918158734351 5.68
2.02313312277476 -0.122720824467182 4.72237640082862 -0.975749418258355 133.955135334813 135.795947701821 5.69
2.04499014292084 0.35452525821459 4.72235909510031 -0.975727461210148 138.991615631332 133.673736758113 5.7
2.06684716427082 0.831771340984041 4.72234177690029 -0.975705516427964 144.028096008769 131.551525894008 5.71
2.0887041866991 1.30901742382677 4.72232444753595 -0.975683582638235 149.064576458641 129.429315101239 5.72
2.11056121009317 1.78626350673078 4.72230710817722 -0.975661658699272 154.101056973359 127.307104372397 5.73
2.13241823435227 2.26350958968592 4.72228975987113 -0.975639743587641 159.137537546129 125.18489370084 5.74
2.15427525938616 2.74075567268383 4.72227240355476 -0.975617836385977 164.174018170872 123.062683080615 5.75
2.17613228511399 3.21800175571747 4.72225504006684 -0.975595936272051 169.210498842147 120.940472506385 5.76
2.19798931146337 3.69524783878102 4.72223767015811 -0.975574042508874 174.246979555082 118.818261973367 5.77
2.21984633836946 4.17249392186948 4.72222029450055 -0.975552154436008 179.283460305318 116.696051477276 5.78
2.24170336577416 4.6497400049788 4.7222029136957 -0.975530271461502 184.319941088952 114.57384101427 5.79
2.26356039362546 5.12698608810556 4.72218552828205 -0.975508393054914 189.356421902489 112.451630580906 5.8
2.28541742187677 5.60423217124692 4.72216813874167 -0.975486518740906 194.392902742803 110.3294201741 5.81
2.30727445048635 6.08147825440041 4.72215074550609 -0.975464648093513 199.429383607093 108.207209791087 5.82
2.32913147941683 6.55872433756407 4.72213334896175 -0.975442780731057 204.465864492852 106.084999429391 5.83
2.35098850863471 7.03597042073623 4.72211594945454 -0.975420916311513 209.502345397836 103.962789086793 5.84
